brand_name,website,contact_name,contact_email,segment,notes
The Bear House,https://www.thebearhouse.com,,,Growth Store India,DTC menswear; likely faster pilot adoption
Bonkers Corner,https://www.bonkerscorner.com,,,Growth Store India,Streetwear DTC; social-first audience
Powerlook,https://www.powerlook.in,,,Growth Store India,Mens streetwear DTC; conversion-focused fit
Freakins,https://www.freakins.com,,,Growth Store India,Denim-focused DTC store
Beyoung,https://www.beyoung.in,,,Growth Store India,Volume DTC with performance marketing fit
Nobero,https://www.nobero.com,,,Growth Store India,Casualwear DTC with fast merchandising cycles
Bummer,https://www.bummer.in,,,Growth Store India,Innerwear DTC with high repeat potential
XYXX,https://xyxxcrew.com,,,Growth Store India,Innerwear/loungewear DTC
Blissclub,https://www.blissclub.com,,,Growth Store India,Womens activewear DTC
Suta,https://www.suta.in,,,Growth Store India,Womens apparel DTC
House of Chikankari,https://www.houseofchikankari.in,,,Growth Store India,Ethnicwear DTC
Virgio,https://www.virgio.com,,,Growth Store India,Sustainable DTC brand
Aachho,https://www.aachho.com,,,Growth Store India,Ethnic fashion DTC
FableStreet,https://www.fablestreet.com,,,Growth Store India,Workwear DTC
Indya,https://www.houseofindya.com,,,Growth Store India,Occasionwear DTC
The Pant Project,https://www.thepantproject.com,,,Growth Store India,Niche fit-led menswear DTC
Bombay Shirt Company,https://www.bombayshirts.com,,,Growth Store India,Customization-led DTC brand
DaMENSCH,https://www.damensch.com,,,Growth Store India,Mens essentials DTC
The Souled Store,https://www.thesouledstore.com,,,Growth Store India,Licensed apparel DTC
Off Duty,https://www.offduty.in,,,Growth Store India,Youth-focused fashion DTC
The Kaftan Company,https://www.thekaftancompany.com,,,Growth Store India,Resortwear DTC
Littlebox India,https://www.littleboxindia.com,,,Growth Store India,Fast-fashion DTC
NEWME,https://www.newme.asia,,,Growth Store India,Digital-first womens fashion
Rare Rabbit,https://www.rarerabbit.in,,,Growth Store India,Premium fashion DTC
Wrogn,https://wrogn.com,,,Growth Store India,Digital fashion brand with scale-up profile
Princess Polly,https://www.princesspolly.com,,,Growth Store Global,Global DTC womens fashion
Oh Polly,https://www.ohpolly.com,,,Growth Store Global,Global DTC occasionwear brand
MESHKI,https://www.meshki.us,,,Growth Store Global,Global DTC fashion brand
Quince,https://www.onequince.com,,,Growth Store Global,DTC value-luxury apparel/home brand
Everlane,https://www.everlane.com,,,Growth Store Global,DTC essentials brand
Girlfriend Collective,https://girlfriend.com,,,Growth Store Global,DTC activewear brand
Lucy and Yak,https://lucyandyak.com,,,Growth Store Global,Independent apparel brand
Cuts Clothing,https://www.cutsclothing.com,,,Growth Store Global,DTC premium basics
True Classic,https://www.trueclassictees.com,,,Growth Store Global,DTC mens basics brand
Kotn,https://kotn.com,,,Growth Store Global,DTC essentials and basics
tentree,https://www.tentree.com,,,Growth Store Global,Sustainability-led DTC apparel
Nisolo,https://nisolo.com,,,Growth Store Global,DTC footwear/apparel brand
Summersalt,https://www.summersalt.com,,,Growth Store Global,DTC womenswear/swim brand
